Publisher,Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Daito,4,4,4,4,4,4,4,4,4,4
Data Age,2,2,2,2,2,2,2,2,2,2
Data Design Interactive,3,3,3,3,3,3,3,3,3,3
Data East,2,2,2,2,2,2,2,2,2,2
Datam Polystar,2,2,2,2,2,2,2,2,2,2
Deep Silver,121,121,121,121,121,121,121,121,121,121
"Destination Software, Inc",12,12,12,12,12,12,12,12,12,12
Destineer,45,45,45,45,45,45,45,45,45,45
Detn8 Games,1,1,1,1,1,1,1,1,1,1
Devolver Digital,2,2,2,2,2,2,2,2,2,2
DigiCube,1,1,1,1,1,1,1,1,1,1
Disney Interactive Studios,214,214,214,214,214,214,214,214,214,214
Dorart,2,2,2,2,2,2,2,2,2,2
DreamCatcher Interactive,17,17,17,17,17,17,17,17,17,17
DreamWorks Interactive,1,1,1,1,1,1,1,1,1,1
Dusenberry Martin Racing,2,2,2,2,2,2,2,2,2,2
EA Games,1,1,1,1,1,1,1,1,1,1
EON Digital Entertainment,1,1,1,1,1,1,1,1,1,1
ESP,5,5,5,5,5,5,5,5,5,5
Easy Interactive,2,2,2,2,2,2,2,2,2,2
Ecole,1,1,1,1,1,1,1,1,1,1
Edia,2,2,2,2,2,2,2,2,2,2
Eidos Interactive,196,196,196,196,196,196,196,196,196,196
Electronic Arts,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339
Electronic Arts Victor,2,2,2,2,2,2,2,2,2,2
Elf,2,2,2,2,2,2,2,2,2,2
Elite,1,1,1,1,1,1,1,1,1,1
Empire Interactive,51,51,51,51,51,51,51,51,51,51
Encore,4,4,4,4,4,4,4,4,4,4
Enix Corporation,30,30,30,30,30,30,30,30,30,30
Enjoy Gaming ltd.,1,1,1,1,1,1,1,1,1,1
Enterbrain,15,15,15,15,15,15,15,15,15,15
Epic Games,1,1,1,1,1,1,1,1,1,1
Epoch,7,7,7,7,7,7,7,7,7,7
Ertain,1,1,1,1,1,1,1,1,1,1
Essential Games,3,3,3,3,3,3,3,3,3,3
Evolution Games,1,1,1,1,1,1,1,1,1,1
Evolved Games,8,8,8,8,8,8,8,8,8,8
Excalibur Publishing,4,4,4,4,4,4,4,4,4,4
Experience Inc.,3,3,3,3,3,3,3,3,3,3
Extreme Entertainment Group,1,1,1,1,1,1,1,1,1,1
Falcom Corporation,16,16,16,16,16,16,16,16,16,16
Fields,1,1,1,1,1,1,1,1,1,1
Flashpoint Games,2,2,2,2,2,2,2,2,2,2
Flight-Plan,2,2,2,2,2,2,2,2,2,2
Focus Home Interactive,56,56,56,56,56,56,56,56,56,56
Focus Multimedia,3,3,3,3,3,3,3,3,3,3
Foreign Media Games,9,9,9,9,9,9,9,9,9,9
Fortyfive,1,1,1,1,1,1,1,1,1,1
Fox Interactive,8,8,8,8,8,8,8,8,8,8
From Software,15,15,15,15,15,15,15,15,15,15
FuRyu,27,27,27,27,27,27,27,27,27,27
FuRyu Corporation,1,1,1,1,1,1,1,1,1,1
Fuji,1,1,1,1,1,1,1,1,1,1
FunSoft,1,1,1,1,1,1,1,1,1,1
Funbox Media,6,6,6,6,6,6,6,6,6,6
Funcom,2,2,2,2,2,2,2,2,2,2
Funsta,3,3,3,3,3,3,3,3,3,3
G.Rev,2,2,2,2,2,2,2,2,2,2
GN Software,3,3,3,3,3,3,3,3,3,3
GOA,1,1,1,1,1,1,1,1,1,1
GSP,16,16,16,16,16,16,16,16,16,16
GT Interactive,45,45,45,45,45,45,45,45,45,45
Gaga,1,1,1,1,1,1,1,1,1,1
Gainax Network Systems,2,2,2,2,2,2,2,2,2,2
Gakken,2,2,2,2,2,2,2,2,2,2
Game Arts,1,1,1,1,1,1,1,1,1,1
Game Factory,32,32,32,32,32,32,32,32,32,32
Game Life,2,2,2,2,2,2,2,2,2,2
GameMill Entertainment,8,8,8,8,8,8,8,8,8,8
GameTek,1,1,1,1,1,1,1,1,1,1
Gamebridge,2,2,2,2,2,2,2,2,2,2
Gamecock,4,4,4,4,4,4,4,4,4,4
