Publisher,Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tivola,3,3,3,3,3,3,3,3,3,3
Tommo,5,5,5,5,5,5,5,5,5,5
Tomy Corporation,18,18,18,18,18,18,18,18,18,18
TopWare Interactive,2,2,2,2,2,2,2,2,2,2
Touchstone,4,4,4,4,4,4,4,4,4,4
Tradewest,3,3,3,3,3,3,3,3,3,3
Trion Worlds,4,4,4,4,4,4,4,4,4,4
Tripwire Interactive,1,1,1,1,1,1,1,1,1,1
Tru Blu Entertainment,8,8,8,8,8,8,8,8,8,8
Tryfirst,1,1,1,1,1,1,1,1,1,1
Type-Moon,1,1,1,1,1,1,1,1,1,1
U.S. Gold,4,4,4,4,4,4,4,4,4,4
UEP Systems,1,1,1,1,1,1,1,1,1,1
UFO Interactive,16,16,16,16,16,16,16,16,16,16
UIG Entertainment,1,1,1,1,1,1,1,1,1,1
Ubisoft,918,918,918,918,918,918,918,918,918,918
Ubisoft Annecy,14,14,14,14,14,14,14,14,14,14
Universal Gamex,1,1,1,1,1,1,1,1,1,1
Universal Interactive,22,22,22,22,22,22,22,22,22,22
Unknown,100,100,100,100,100,100,100,100,100,100
Valcon Games,8,8,8,8,8,8,8,8,8,8
ValuSoft,4,4,4,4,4,4,4,4,4,4
Valve,1,1,1,1,1,1,1,1,1,1
Valve Software,3,3,3,3,3,3,3,3,3,3
Vap,1,1,1,1,1,1,1,1,1,1
Vatical Entertainment,2,2,2,2,2,2,2,2,2,2
Vic Tokai,2,2,2,2,2,2,2,2,2,2
Victor Interactive,9,9,9,9,9,9,9,9,9,9
Video System,4,4,4,4,4,4,4,4,4,4
Views,2,2,2,2,2,2,2,2,2,2
Vir2L Studios,3,3,3,3,3,3,3,3,3,3
Virgin Interactive,62,62,62,62,62,62,62,62,62,62
Virtual Play Games,2,2,2,2,2,2,2,2,2,2
Visco,1,1,1,1,1,1,1,1,1,1
Vivendi Games,161,161,161,161,161,161,161,161,161,161
Wanadoo,5,5,5,5,5,5,5,5,5,5
Warashi,1,1,1,1,1,1,1,1,1,1
Wargaming.net,1,1,1,1,1,1,1,1,1,1
Warner Bros. Interactive Entertainment,217,217,217,217,217,217,217,217,217,217
Warp,1,1,1,1,1,1,1,1,1,1
WayForward Technologies,1,1,1,1,1,1,1,1,1,1
Westwood Studios,1,1,1,1,1,1,1,1,1,1
White Park Bay Software,1,1,1,1,1,1,1,1,1,1
Wizard Video Games,1,1,1,1,1,1,1,1,1,1
XS Games,12,12,12,12,12,12,12,12,12,12
Xicat Interactive,3,3,3,3,3,3,3,3,3,3
Xing Entertainment,1,1,1,1,1,1,1,1,1,1
Xplosiv,10,10,10,10,10,10,10,10,10,10
Xseed Games,4,4,4,4,4,4,4,4,4,4
Yacht Club Games,3,3,3,3,3,3,3,3,3,3
Yamasa Entertainment,2,2,2,2,2,2,2,2,2,2
Yeti,11,11,11,11,11,11,11,11,11,11
Yuke's,3,3,3,3,3,3,3,3,3,3
Yumedia,1,1,1,1,1,1,1,1,1,1
Zenrin,2,2,2,2,2,2,2,2,2,2
Zoo Digital Publishing,104,104,104,104,104,104,104,104,104,104
Zoo Games,33,33,33,33,33,33,33,33,33,33
Zushi Games,18,18,18,18,18,18,18,18,18,18
bitComposer Games,5,5,5,5,5,5,5,5,5,5
dramatic create,5,5,5,5,5,5,5,5,5,5
fonfun,1,1,1,1,1,1,1,1,1,1
iWin,1,1,1,1,1,1,1,1,1,1
id Software,1,1,1,1,1,1,1,1,1,1
imageepoch Inc.,2,2,2,2,2,2,2,2,2,2
inXile Entertainment,1,1,1,1,1,1,1,1,1,1
"mixi, Inc",1,1,1,1,1,1,1,1,1,1
responDESIGN,2,2,2,2,2,2,2,2,2,2
